src,dst
27170,2950
46403,48877
46403,48877
45615,48877
144730,162134
48877,46403
110160,154280
64954,148543
169519,54786
143128,148543
48877,38459
103938,148543
152060,73525
168864,67008
46403,48877
106673,67008
98459,165546
139888,189111
54860,159430
189111,139888
7473,98791
97098,88204
216523,184609
143223,2950
43462,46485
113956,148543
49362,64954
97869,106673
7473,82857
184609,216523
216523,184609
97050,43696
3538,195460
2950,27170
88159,148543
88159,97869
79483,98791
97050,43696
7022,71732
79379,121239
562,139888
45610,98428
98791,103461
98428,45610
118982,178066
87866,64954
124967,198521
45610,85750
45610,85750
163135,121239
189044,80625
217228,88159
202111,108296
49364,155553
191279,121239
113728,98791
88159,97869
108296,210488
179185,215500
136144,102854
61347,184609
148543,49154
191487,108296
101246,184450
191487,108296
10155,204186
61347,184609
61347,184609
118006,144730
10155,148543
210978,112880
131789,119720
76326,219236
97869,88159
121210,210149
88159,148543
88159,148543
88159,148543
193519,180825
130264,8408
118982,79483
32518,186589
20421,153557
98791,50338
186589,153557
88159,148543
118982,79483
65450,211666
149247,53669
98791,64042
123508,3538
148543,88159
15123,167400
1536,43462
93963,108296
71267,56805
148543,88159
39889,215500
95641,180825
118982,79483
113728,45610
134583,45610
31151,98791
88159,148543
123975,31069
53124,131920
43934,45199
184400,191279
5528,64954
27033,45199
98791,85584
121239,73048
28340,185866
118982,79483
187488,12404
599,159696
166882,104951
131920,53124
127615,180825
64954,5528
88159,148543
31151,98791
31151,98791
216931,44481
184400,216484
153557,32518
171748,163735
149247,179844
43934,166231
32518,186589
154521,184609
184609,18247
205013,98791
148543,88159
98791,205013
178270,43934
134027,174763
119720,163735
186589,153557
46093,98298
159696,179489
22515,73950
45199,142360
119720,163735
88159,148543
154989,151282
49234,22721
70791,146300
45199,142360
163735,119720
121239,125570
164086,22125
3361,191279
189425,202855
88159,148543
88159,148543
162581,159696
88159,148543
153747,41786
82486,196056
148543,88159
121239,109387
130500,121239
206991,192456
191908,154989
5883,131920
23956,131920
179686,57811
164251,19966
45610,37450
200349,216931
7113,28340
198448,599
206991,192456
131920,5883
164251,19966
45199,142360
23956,131920
45038,134583
215954,76280
113728,71200
113728,71200
216931,200349
149194,599
143426,175160
148543,88159
198880,111553
115459,180825
131920,23956
170823,62263
5767,191795
140199,76502
112880,153831
65376,54070
125222,124234
66210,89233
66210,89233
180825,127615
210528,69602
145695,199241
23956,147747
145695,199241
125570,216931
125222,124234
165604,142360
64525,178217
23956,131920
125222,124234
88159,148543
18627,11087
9282,424
112004,599
79483,164274
112004,109387
216519,75882
59622,75882
148543,119066
216931,125570
599,112004
75882,59622
5767,179686
11087,18627
112004,109387
102758,19966
26722,86434
199561,28176
64525,178217
182067,124460
173029,528
125570,216931
149592,79483
104706,48877
157128,205804
98428,98428
125570,216931
199241,131089
19966,190125
190125,19966
199241,77563
3361,165388
19966,145695
78396,194904
123532,116530
178217,64525
528,173029
199241,137150
19966,190125
88159,148543
165604,142360
36455,194772
116530,123532
44481,25154
63747,16092
119066,110865
13836,48920
210355,5703
190125,19966
37394,215530
55233,108907
55233,108907
33434,137356
19966,190125
190125,19966
148543,119066
217,199241
113569,1199
142360,119108
37394,215530
125012,216577
148543,88159
215530,37394
131920,23956
76502,196957
148543,119066
49964,1749
154572,44714
159628,7931
12668,210149
7848,57716
110865,119066
112004,28506
16573,121515
7410,118744
107888,72188
210149,131920
117287,198685
131920,210149
13000,215500
180627,105681
105681,73950
119066,5101
160124,149247
217,199241
217,199241
119066,148543
210355,5703
196957,97031
54458,22633
54804,173754
110865,148543
159628,7931
28506,112004
160124,107177
13000,215500
47803,54458
199241,137150
195799,189425
16909,4918
26727,210149
207201,142102
137277,199241
195799,133916
148543,119066
119066,148543
30956,210149
112004,179873
210149,26727
103267,59365
171899,155141
210149,54373
210149,26727
210149,26727
137777,143627
179686,11662
153043,98428
62608,54770
136036,2043
138745,122194
211666,122194
137277,124725
6952,193097
143627,137777
2043,136036
145578,192719
117287,10129
136036,2043
137277,107177
15274,55508
215500,141632
183661,199241
210149,29230
199241,192719
129701,134871
25154,199517
148543,110865
36337,133235
7931,139320
148543,110865
213990,16092
178152,96863
5316,138683
82347,201087
154572,27917
44714,19966
165967,196810
152617,98117
16092,30015
57674,89589
69624,149002
14525,65739
14525,136238
119066,148543
72025,73950
154857,214800
73950,159013
151241,46082
3361,54500
14525,25154
154572,27917
82347,203005
219368,46182
164274,160124
93884,73950
15017,160124
25154,147449
53008,122177
53008,139171
192686,20424
164274,160124
96121,165967
15017,164274
164274,160124
94275,424
111570,82347
142360,96077
7931,139320
54680,57811
180975,125012
217595,153532
114999,24260
49234,126424
96121,165967
216111,305
111048,96863
75882,79063
123124,196138
196138,123124
132728,22125
81166,105287
116329,219368
214136,16573
108907,113569
108907,113569
175529,215530
118804,184609
36086,98733
77380,183436
46182,219368
109856,182067
196810,165967
37542,182067
49492,90270
119066,148543
216484,25154
111048,96863
211666,63235
192719,199241
219368,177177
179686,123048
106867,144226
174292,137356
142479,591
49364,196007
54680,67237
140260,101916
185996,75426
7737,98428
130442,172799
137277,87076
122419,16573
119066,148543
199241,181613
210294,33931
134871,129701
182067,37542
159696,212022
138199,199241
179686,123048
179686,123048
16573,100696
149247,172736
215530,32652
57811,107888
94657,123796
45199,94838
20762,199241
96121,165967
200701,53152
158564,177169
105287,102087
